id;filme;ano;nota;votos;diretor
0;Um Sonho de Liberdade;1994;9.2;2704044;Frank Darabont
1;O Poderoso Chefão;1972;9.2;1877546;Francis Ford Coppola
2;Batman: O Cavaleiro das Trevas;2008;9.0;2677854;Christopher Nolan
3;O Poderoso Chefão II;1974;9.0;1282444;Francis Ford Coppola
4;12 Homens e uma Sentença;1957;9.0;798850;Sidney Lumet
5;A Lista de Schindler;1993;8.9;1366731;Steven Spielberg
6;O Senhor dos Anéis: O Retorno do Rei;2003;8.9;1861796;Peter Jackson
7;Pulp Fiction: Tempo de Violência;1994;8.8;2076022;Quentin Tarantino
8;O Senhor dos Anéis: A Sociedade do Anel;2001;8.8;1891210;Peter Jackson
9;Três Homens em Conflito;1966;8.8;767911;Sergio Leone
10;Forrest Gump: O Contador de Histórias;1994;8.8;2100925;Robert Zemeckis
11;Clube da Luta;1999;8.7;2148865;David Fincher
12;O Senhor dos Anéis: As Duas Torres;2002;8.7;1681114;Peter Jackson
13;A Origem;2010;8.7;2375826;Christopher Nolan
14;O Império Contra-Ataca;1980;8.7;1303078;Irvin Kershner
15;Matrix;1999;8.7;1929704;Lana Wachowski
16;Os Bons Companheiros;1990;8.7;1172988;Martin Scorsese
17;Um Estranho no Ninho;1975;8.6;1015460;Milos Forman
18;Seven: Os Sete Crimes Capitais;1995;8.6;1669681;David Fincher
19;Os Sete Samurais;1954;8.6;348852;Akira Kurosawa
20;A Felicidade Não se Compra;1946;8.6;466879;Frank Capra
21;O Silêncio dos Inocentes;1991;8.6;1445869;Jonathan Demme
22;Cidade de Deus;2002;8.6;762470;Fernando Meirelles
23;O Resgate do Soldado Ryan;1998;8.6;1403667;Steven Spielberg
24;Interestelar;2014;8.6;1862148;Christopher Nolan
25;A Vida é Bela;1997;8.6;701900;Roberto Benigni
26;À Espera de um Milagre;1999;8.6;1314510;Frank Darabont
27;Guerra nas Estrelas;1977;8.5;1375480;George Lucas
28;O exterminador do futuro 2: O julgamento final;1991;8.5;1108769;James Cameron
29;De Volta para o Futuro;1985;8.5;1218214;Robert Zemeckis
30;A Viagem de Chihiro;2001;8.5;773626;Hayao Miyazaki
31;O Pianista;2002;8.5;841589;Roman Polanski
32;Psicose;1960;8.5;678074;Alfred Hitchcock
33;Parasita;2019;8.5;823821;Bong Joon Ho
34;O Profissional;1994;8.5;1172550;Luc Besson
35;O Rei Leão;1994;8.5;1068845;Roger Allers
36;Gladiador;2000;8.5;1513962;Ridley Scott
37;A Outra História Americana;1998;8.5;1130973;Tony Kaye
38;Os Infiltrados;2006;8.5;1336929;Martin Scorsese
39;Os Suspeitos;1995;8.5;1093247;Bryan Singer
40;O Grande Truque;2006;8.5;1345604;Christopher Nolan
41;Whiplash: Em Busca da Perfeição;2014;8.5;879531;Damien Chazelle
42;Casablanca;1942;8.5;576595;Michael Curtiz
43;Túmulo dos Vagalumes;1988;8.5;281566;Isao Takahata
44;Harakiri;1962;8.5;59031;Masaki Kobayashi
45;Intocáveis;2011;8.5;868074;Olivier Nakache
46;Tempos Modernos;1936;8.4;245214;Charles Chaplin
47;Era uma Vez no Oeste;1968;8.4;333172;Sergio Leone
48;Janela Indiscreta;1954;8.4;496141;Alfred Hitchcock
49;Cinema Paradiso;1988;8.4;264296;Giuseppe Tornatore
50;Alien - O 8º Passageiro;1979;8.4;891087;Ridley Scott
51;Luzes da Cidade;1931;8.4;186563;Charles Chaplin
52;Apocalypse Now;1979;8.4;673879;Francis Ford Coppola
53;Amnésia;2000;8.4;1248633;Christopher Nolan
54;Django Livre;2012;8.4;1572154;Quentin Tarantino
55;Os Caçadores da Arca Perdida;1981;8.4;974704;Steven Spielberg
56;WALL·E;2008;8.4;1126570;Andrew Stanton
57;A Vida dos Outros;2006;8.4;392768;Florian Henckel von Donnersmarck
58;Crepúsculo dos Deuses;1950;8.4;224279;Billy Wilder
59;Glória Feita de Sangue;1957;8.4;199666;Stanley Kubrick
60;O Iluminado;1980;8.4;1033083;Stanley Kubrick
61;O Grande Ditador;1940;8.4;226236;Charles Chaplin
62;Vingadores: Guerra Infinita;2018;8.4;1096963;Anthony Russo
63;Testemunha de Acusação;1957;8.4;127368;Billy Wilder
64;Aliens, O Resgate;1986;8.3;724199;James Cameron
65;Homem-Aranha: No Aranhaverso;2018;8.3;542517;Bob Persichetti
66;Beleza Americana;1999;8.3;1162319;Sam Mendes
67;Dr. Fantástico;1964;8.3;495153;Stanley Kubrick
68;Batman: O Cavaleiro das Trevas Ressurge;2012;8.3;1719186;Christopher Nolan
69;Oldboy;2003;8.3;586559;Park Chan-wook
70;Bastardos Inglórios;2009;8.3;1466349;Quentin Tarantino
71;Amadeus;1984;8.3;405058;Milos Forman
72;Viva: A Vida é uma Festa;2017;8.3;519134;Lee Unkrich
73;Toy Story;1995;8.3;1003369;John Lasseter
74;Coringa;2019;8.3;1313208;Todd Phillips
75;Coração Valente;1995;8.3;1045179;Mel Gibson
76;O Barco: Inferno no Mar;1981;8.3;253133;Wolfgang Petersen
77;Vingadores: Ultimato;2019;8.3;1150049;Anthony Russo
78;Princesa Mononoke;1997;8.3;399813;Hayao Miyazaki
79;Era uma Vez na América;1984;8.3;355799;Sergio Leone
80;Gênio Indomável;1997;8.3;984403;Gus Van Sant
81;Your Name.;2016;8.3;275274;Makoto Shinkai
82;Cantando na Chuva;1952;8.3;245734;Stanley Donen
83;3 Idiotas;2009;8.3;405097;Rajkumar Hirani
84;Réquiem para um Sonho;2000;8.3;850562;Darren Aronofsky
85;Céu E Inferno;1963;8.3;46499;Akira Kurosawa
86;Toy Story 3;2010;8.3;843925;Lee Unkrich
87;Cafarnaum;2018;8.3;92419;Nadine Labaki
88;Star Wars, Episódio VI: O Retorno do Jedi;1983;8.3;1062902;Richard Marquand
89;Brilho Eterno de uma Mente sem Lembranças;2004;8.3;1017809;Michel Gondry
90;2001: Uma Odisséia no Espaço;1968;8.3;675792;Stanley Kubrick
91;Cães de Aluguel;1992;8.3;1028712;Quentin Tarantino
92;Vá e Veja;1985;8.3;82675;Elem Klimov
93;A Caça;2012;8.3;335347;Thomas Vinterberg
94;Cidadão Kane;1941;8.3;445891;Orson Welles
95;M, o Vampiro de Dusseldorf;1931;8.3;159836;Fritz Lang
96;Lawrence da Arábia;1962;8.2;297171;David Lean
97;Intriga Internacional;1959;8.2;331254;Alfred Hitchcock
98;Um Corpo que Cai;1958;8.2;406289;Alfred Hitchcock
99;Viver;1952;8.2;80008;Akira Kurosawa
100;Se Meu Apartamento Falasse;1960;8.2;184032;Billy Wilder
101;O Fabuloso Destino de Amélie Poulain;2001;8.2;762508;Jean-Pierre Jeunet
102;Laranja Mecânica;1971;8.2;837530;Stanley Kubrick
103;Pacto de Sangue;1944;8.2;159070;Billy Wilder
104;Nascido para Matar;1987;8.2;749391;Stanley Kubrick
105;Scarface;1983;8.2;851646;Brian De Palma
106;Hamilton;2020;8.2;97956;Thomas Kail
107;Top Gun: Maverick;2022;8.2;530733;Joseph Kosinski
108;Incêndios;2010;8.2;180653;Denis Villeneuve
109;O Sol é para Todos;1962;8.2;319164;Robert Mulligan
110;Fogo Contra Fogo;1995;8.2;662967;Michael Mann
111;Golpe de Mestre;1973;8.2;266066;George Roy Hill
112;Up: Altas Aventuras;2009;8.2;1054056;Pete Docter
113;A Separação;2011;8.2;247147;Asghar Farhadi
114;Metrópolis;1927;8.2;176308;Fritz Lang
115;Taxi Driver: Motorista de Táxi;1976;8.2;845157;Martin Scorsese
116;Los Angeles: Cidade Proibida;1997;8.2;587515;Curtis Hanson
117;Duro de Matar;1988;8.2;892272;John McTiernan
118;Snatch: Porcos e Diamantes;2000;8.2;863984;Guy Ritchie
119;Indiana Jones e a Última Cruzada;1989;8.2;762108;Steven Spielberg
120;Ladrões de Bicicletas;1948;8.2;165453;Vittorio De Sica
121;Como Estrelas na Terra;2007;8.2;195592;Aamir Khan
122;1917;2019;8.2;604093;Sam Mendes
123;A Queda! As Últimas Horas de Hitler;2004;8.2;358939;Oliver Hirschbiegel
124;Dangal;2016;8.2;194190;Nitesh Tiwari
125;Por uns Dólares a Mais;1965;8.2;259738;Sergio Leone
126;Batman Begins;2005;8.2;1483677;Christopher Nolan
127;O Garoto;1921;8.2;127846;Charles Chaplin
128;Quanto Mais Quente Melhor;1959;8.2;270317;Billy Wilder
129;Meu Pai;2020;8.2;160418;Florian Zeller
130;A Malvada;1950;8.2;132568;Joseph L. Mankiewicz
131;O Lobo de Wall Street;2013;8.2;1432428;Martin Scorsese
132;Green Book: O Guia;2018;8.2;503271;Peter Farrelly
133;Julgamento em Nuremberg;1961;8.2;78617;Stanley Kramer
134;Ran;1985;8.2;127262;Akira Kurosawa
135;Cassino;1995;8.2;526830;Martin Scorsese
136;O Labirinto do Fauno;2006;8.2;674684;Guillermo del Toro
137;O Show de Truman: O Show da Vida;1998;8.2;1096618;Peter Weir
138;Sangue Negro;2007;8.2;593691;Paul Thomas Anderson
139;Os Imperdoáveis;1992;8.2;415904;Clint Eastwood
140;O Sexto Sentido;1999;8.2;1000098;M. Night Shyamalan
141;Ilha do Medo;2010;8.2;1333893;Martin Scorsese
142;Uma Mente Brilhante;2001;8.2;940044;Ron Howard
143;Jurassic Park;1993;8.1;999219;Steven Spielberg
144;Yojimbo, o Guarda-Costas;1961;8.1;124321;Akira Kurosawa
145;O Tesouro da Sierra Madre;1948;8.1;126268;John Huston
146;Monty Python em Busca do Cálice Sagrado;1975;8.1;546428;Terry Gilliam
147;Fugindo do Inferno;1963;8.1;247089;John Sturges
148;Onde os Fracos Não Têm Vez;2007;8.1;985401;Ethan Coen
149;Kill Bill: Volume 1;2003;8.1;1126102;Quentin Tarantino
150;Rashomon;1950;8.1;170594;Akira Kurosawa
151;Homem-Aranha: Sem Volta para Casa;2021;8.1;772085;Jon Watts
152;O Enigma de Outro Mundo;1982;8.1;431392;John Carpenter
153;Procurando Nemo;2003;8.1;1053150;Andrew Stanton
154;O Homem Elefante;1980;8.1;244462;David Lynch
155;Chinatown;1974;8.1;330677;Roman Polanski
156;Touro Indomável;1980;8.1;358227;Martin Scorsese
157;V de Vingança;2005;8.1;1130098;James McTeigue
158;...E o Vento Levou;1939;8.1;318835;Victor Fleming
159;Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1;588260;Guy Ritchie
160;Divertida Mente;2015;8.1;723330;Pete Docter
161;Disque M para Matar;1954;8.1;178234;Alfred Hitchcock
162;O Segredo dos Seus Olhos;2009;8.1;211915;Juan José Campanella
163;O Castelo Animado;2004;8.1;402147;Hayao Miyazaki
164;Três Anúncios para um Crime;2017;8.1;516351;Martin McDonagh
165;A Ponte do Rio Kwai;1957;8.1;223134;David Lean
166;Trainspotting: Sem Limites;1996;8.1;693626;Danny Boyle
167;Os Suspeitos;2013;8.1;729289;Denis Villeneuve
168;Guerreiro;2011;8.1;477189;Gavin O'Connor
169;Fargo: Uma Comédia de Erros;1996;8.1;684936;Joel Coen
170;Gran Torino;2008;8.1;781912;Clint Eastwood
171;Meu Amigo Totoro;1988;8.1;345372;Hayao Miyazaki
172;Prenda-me se for Capaz;2002;8.1;999035;Steven Spielberg
173;Menina de Ouro;2004;8.1;693030;Clint Eastwood
174;Filhos do Paraíso;1997;8.1;75659;Majid Majidi
175;Blade Runner: O Caçador de Androides;1982;8.1;778036;Ridley Scott
176;Em Busca do Ouro;1925;8.1;112647;Charles Chaplin
177;Antes do Amanhecer;1995;8.1;314393;Richard Linklater
178;Klaus;2019;8.1;162267;Sergio Pablos
179;12 Anos de Escravidão;2013;8.1;707727;Steve McQueen
180;Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1;886382;David Yates
181;Sindicato de Ladrões;1954;8.1;156832;Elia Kazan
182;Ben-Hur;1959;8.1;242023;William Wyler
183;Garota Exemplar;2014;8.1;994337;David Fincher
184;O Grande Hotel Budapeste;2014;8.1;822538;Wes Anderson
185;Morangos Silvestres;1957;8.1;108679;Ingmar Bergman
186;A General;1926;8.1;92719;Clyde Bruckman
187;O 3º Homem;1949;8.1;173480;Carol Reed
188;Em Nome do Pai;1993;8.1;177694;Jim Sheridan
189;O Franco Atirador;1978;8.1;342938;Michael Cimino
190;Barry Lyndon;1975;8.1;171167;Stanley Kubrick
191;Até o Último Homem;2016;8.1;536527;Mel Gibson
192;O Salário do Medo;1953;8.1;62406;Henri-Georges Clouzot
193;Memórias de um Assassino;2003;8.1;189982;Bong Joon Ho
194;Bancando o Águia;1924;8.1;51219;Buster Keaton
195;Relatos Selvagens;2014;8.1;201867;Damián Szifron
196;A Mulher Faz o Homem;1939;8.1;116630;Frank Capra
197;Mad Max: Estrada da Fúria;2015;8.1;1014485;George Miller
198;O Sétimo Selo;1957;8.1;187547;Ingmar Bergman
199;Mary e Max: Uma Amizade Diferente;2009;8.1;179156;Adam Elliot
200;Como Treinar o Seu Dragão;2010;8.1;749201;Dean DeBlois
201;O Quarto de Jack;2015;8.1;426046;Lenny Abrahamson
202;Monstros S.A.;2001;8.1;918808;Pete Docter
203;Tubarão;1975;8.1;614484;Steven Spielberg
204;Sociedade dos Poetas Mortos;1989;8.1;499671;Peter Weir
205;O Grande Lebowski;1998;8.1;816686;Joel Coen
206;Era uma Vez em Tóquio;1953;8.1;63007;Yasujirô Ozu
207;O Martírio de Joana D'Arc;1928;8.1;56260;Carl Theodor Dreyer
208;Hotel Ruanda;2004;8.0;358988;Terry George
209;Ford vs Ferrari;2019;8.0;404442;James Mangold
210;Rocky: Um Lutador;1976;8.0;585299;John G. Avildsen
211;Platoon;1986;8.0;418673;Oliver Stone
212;Ratatouille;2007;8.0;749777;Brad Bird
213;Spotlight: Segredos Revelados;2015;8.0;475581;Tom McCarthy
214;O Exterminador do Futuro;1984;8.0;874406;James Cameron
215;Logan;2017;8.0;773635;James Mangold
216;Conta Comigo;1986;8.0;409897;Rob Reiner
217;Rush: No Limite da Emoção;2013;8.0;485256;Ron Howard
218;Rede de Intrigas;1976;8.0;161561;Sidney Lumet
219;Antes do Pôr-do-Sol;2004;8.0;269115;Richard Linklater
220;Na Natureza Selvagem;2007;8.0;628929;Sean Penn
221;O Mágico de Oz;1939;8.0;405335;Victor Fleming
222;A Canção da Estrada;1955;8.0;34164;Satyajit Ray
223;Feitiço do Tempo;1993;8.0;641590;Harold Ramis
224;Os Melhores Anos de Nossa Vida;1946;8.0;66036;William Wyler
225;O Exorcista;1973;8.0;414389;William Friedkin
226;Ser ou Não Ser;1942;8.0;38718;Ernst Lubitsch
227;Os Incríveis;2004;8.0;748106;Brad Bird
228;O Ódio;1995;8.0;177616;Mathieu Kassovitz
229;Piratas do Caribe: A Maldição do Pérola Negra;2003;8.0;1138207;Gore Verbinski
230;A Batalha de Argel;1966;8.0;61490;Gillo Pontecorvo
231;Sempre ao Seu Lado;2009;8.0;290194;Lasse Hallström
232;Jai Bhim;2021;8.0;204268;T.J. Gnanavel
233;As Vinhas da Ira;1940;8.0;94911;John Ford
234;Meu Pai e Meu Filho;2005;8.0;87381;Çagan Irmak
235;Amores Brutos;2000;8.0;243264;Alejandro G. Iñárritu
236;Rebecca, a Mulher Inesquecível;1940;8.0;139039;Alfred Hitchcock
237;Rebeldia Indomável;1967;8.0;179405;Stuart Rosenberg
238;A Criada;2016;8.0;152541;Park Chan-wook
239;Os Incompreendidos;1959;8.0;120302;François Truffaut
240;A Noviça Rebelde;1965;8.0;240272;Robert Wise
241;Aconteceu Naquela Noite;1934;8.0;105775;Frank Capra
242;Quando Duas Mulheres Pecam;1966;8.0;121471;Ingmar Bergman
243;A Vida de Brian;1979;8.0;404351;Terry Jones
244;O Gigante de Ferro;1999;8.0;203816;Brad Bird
245;Dersu Uzala;1975;8.0;31020;Akira Kurosawa
246;Histórias Cruzadas;2011;8.0;464896;Tate Taylor
247;Aladdin;1992;8.0;427927;Ron Clements
248;Gandhi;1982;8.0;234316;Richard Attenborough
249;Dança com Lobos;1990;8.0;270925;Kevin Costner
